"Method","Provider","Status","From:","Amount","Coin","To:","Date","Label","Gas","Block Number","Transaction Hash","Block Hash","Input"
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.11 => 0.2644154375205584","CUSD => 0.2644154375205584","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.23751518643997702","CUSD => 0.23751518643997702","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.001","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CUSD","0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01,
0.01,
0.01,
0.01,
0.01","CELO,
CUSD,
CELO,
CUSD,
CELO,
CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999989244","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 13, 2022 03:10:00 - Nov 23, 2022 02:10:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 12, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.019999999999997766","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 12, 2022 23:41:06 - Nov 13, 2022 00:00:00","","0.000 CELO","","","",""
"Received","Remox","Success","0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6","0.6","CREAL","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Nov 8, 2022","","0.000 CELO","16048402","0x88fd6883120f31224fa82e0860731f6a3fca1728f04ad379f6fce3f03947b0f3","0xde494abd022dc5f623d8dd6cadc425553a5a60a8e98603883648287e13be6019","0xe1d6aceb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000853a0d2313c000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000"
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.05,
0.1","CELO,
CREAL","0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 8, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CUSD","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 8, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.4 => 0.39944857795549477","CUSD => 0.39944857795549477","0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73","Nov 8, 2022","Swap","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 09, 2022 07:12:00 - Nov 10, 2022 07:12:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0199999999995264","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 08, 2022 08:07:00 - Nov 11, 2022 07:07:00","Finance","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 8, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CUSD","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 8, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999987048","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 08, 2022 01:24:00 - Nov 20, 2022 00:24:00","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1,
0.1","CUSD,
CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 7, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.13160499414482302","CUSD => 0.13160499414482302","0x471ece3750da237f93b8e339c536989b8978a438","Nov 7, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.07508819974685074","CELO => 0.07508819974685074","0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73","Nov 7, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1,
0.1","CUSD,
CELO","0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6, 
0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6","Nov 7, 2022","test","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.099999999999999","CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 07, 2022 12:00:00 - Nov 07, 2022 12:15:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","Swap","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998424","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 11:48:00 - Nov 08, 2022 10:48:00","Payroll","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998424","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 10:56:00 - Nov 08, 2022 09:56:00","","0.000 CELO","","","",""
